claim_id,M_i,P_i,C_i,v_i
S001,500,0.2519,2369,0.112
S002,617,0.3477,2270,0.4277
S003,1252,0.3372,2976,0.7971
S004,500,0.0669,2270,0.073
S005,500,0.2014,1821,0.0733
S006,837,0.3129,2223,0.569
S007,8687,0.0773,4282,0.7833
S008,16557,0.0066,5227,0.7592
S009,4890,0.1487,3863,0.6596
S010,1758,0.1738,2374,0.2361
S011,1408,0.1233,2388,0.4465
S012,602,0.1424,1649,0.1244
S013,500,0.0167,2038,0.052
S014,1630,0.0351,2481,0.6004
S015,7413,0.1335,4318,0.1995
S016,500,0.1999,1537,0.4072
S017,7894,0.0806,3749,0.5234
S018,6579,0.027,4068,0.0456
S019,2904,0.0395,3251,0.7314
S020,1135,0.1382,2370,0.4131
S021,3663,0.0527,3546,0.0955
S022,500,0.1143,2088,0.5705
S023,1226,0.1529,2415,0.4624
S024,8132,0.2736,4278,0.1437
S025,752,0.0173,1893,0.315
S026,10038,0.1536,4120,0.4006
S027,5617,0.2011,3804,0.3361
S028,1317,0.0197,2843,0.3714
S029,1486,0.1309,2406,0.3756
S030,569,0.0924,2281,0.3387
S031,1198,0.1413,2507,0.6572
S032,1917,0.2148,2949,0.5806
S033,993,0.011,2310,0.3285
S034,500,0.1798,1929,0.5755
S035,2622,0.0131,2717,0.5474
S036,500,0.0462,1955,0.3304
S037,4339,0.2848,3761,0.025
S038,1588,0.2651,2970,0.7524
S039,829,0.0373,2764,0.4952
S040,500,0.1229,2266,0.8227
S041,1162,0.1847,2454,0.5309
S042,500,0.0398,1615,0.1032
S043,10685,0.0663,4619,0.4825
S044,3195,0.0383,3179,0.6271
S045,5413,0.3048,4087,0.3811
S046,5725,0.0769,3515,0.6169
S047,2001,0.3933,2662,0.5394
S048,14195,0.3709,5114,0.6668
S049,5025,0.3037,3695,0.2915
S050,731,0.0177,2557,0.1583
S051,500,0.0816,1702,0.686
S052,2061,0.4066,2600,0.3269
S053,1053,0.2034,2506,0.3303
S054,1102,0.1255,2206,0.4003
S055,2651,0.2201,2890,0.719
S056,945,0.1941,2089,0.4668
S057,5644,0.1057,3711,0.3722
S058,2168,0.1158,3389,0.0828
S059,1983,0.1744,3686,0.2122
S060,1684,0.0797,3181,0.2527
S061,1662,0.2538,2326,0.1277
S062,917,0.0488,2556,0.406
S063,2626,0.2432,3443,0.786
S064,4312,0.0128,3529,0.5259
S065,3360,0.1668,2769,0.4204
S066,6193,0.1335,3324,0.3761
S067,3375,0.1863,3076,0.2502
S068,637,0.4097,2177,0.7014
S069,10945,0.1031,4325,0.4796
S070,7330,0.2044,3704,0.19
S071,3263,0.1895,2674,0.6407
S072,751,0.1229,1751,0.2784
S073,4090,0.0745,3291,0.2814
S074,3330,0.0387,3303,0.6248
S075,662,0.1704,2230,0.5051
S076,3933,0.0786,3276,0.6281
S077,1835,0.1421,2805,0.2927
S078,11749,0.1687,4956,0.5631
S079,6257,0.0309,4002,0.0313
S080,2711,0.1217,3191,0.1854
S081,500,0.1899,1611,0.0591
S082,500,0.0483,2148,0.2841
S083,8703,0.1857,4463,0.3029
S084,971,0.1246,2521,0.7434
S085,1128,0.2132,2250,0.069
S086,6321,0.1301,4482,0.5462
S087,1978,0.0776,2794,0.7417
S088,2013,0.0482,2956,0.4811
S089,1929,0.0877,2334,0.476
S090,2987,0.0763,3532,0.3384
S091,500,0.0624,1967,0.4379
S092,500,0.2084,2512,0.5404
S093,2645,0.1137,2947,0.2891
S094,709,0.1478,1844,0.1487
S095,647,0.0548,2249,0.6418
S096,500,0.1073,2219,0.2357
S097,3117,0.1217,3110,0.2891
S098,6016,0.1414,3720,0.2779
S099,9862,0.0546,4168,0.591
S100,1439,0.1587,2576,0.7226
