claim_id,M_i,P_i,C_i,v_i
S001,40201,0.4346,10165,0.9374
S002,626,0.2053,500,0.1398
S003,23654,0.4819,5995,0.5466
S004,3895,0.5315,1242,0.7901
S005,2771,0.1948,991,0.7374
S006,1142,0.0478,500,0.2769
S007,1588,0.3177,500,0.076
S008,14203,0.5531,5009,0.8986
S009,2760,0.0888,991,0.2875
S010,998,0.0349,500,0.2408
S011,11911,0.2999,2637,0.3966
S012,4956,0.1089,1335,0.2184
S013,11838,0.8176,4077,0.6991
S014,874,0.2245,500,0.19
S015,2840,0.1545,985,0.4589
S016,6851,0.2812,1682,0.4765
S017,1229,0.3163,500,0.1453
S018,64334,0.3749,16989,0.6318
S019,3909,0.3584,1434,0.2766
S020,2154,0.0071,666,0.138
S021,3446,0.0486,1068,0.6734
S022,11065,0.1633,2766,0.8174
S023,25396,0.4323,5165,0.3194
S024,4246,0.4605,1079,0.5113
S025,1881,0.3599,531,0.5008
S026,35399,0.6554,10385,0.9284
S027,72886,0.7454,26800,0.1478
S028,2171,0.1773,768,0.0399
S029,2196,0.2324,776,0.0912
S030,1472,0.191,510,0.0935
S031,2223,0.245,828,0.0388
S032,13086,0.259,4192,0.6577
S033,23147,0.6189,9244,0.6657
S034,1979,0.0928,772,0.416
S035,5026,0.3274,1497,0.4872
S036,2823,0.728,809,0.7231
S037,26801,0.4503,8630,0.709
S038,20466,0.3579,6903,0.4786
S039,500,0.284,500,0.13
S040,683,0.0943,500,0.2579
S041,18077,0.4168,6359,0.191
S042,27348,0.7387,9414,0.5458
S043,2575,0.3436,754,0.3713
S044,1850,0.199,562,0.5797
S045,1022,0.104,500,0.061
S046,7055,0.4249,2293,0.3325
S047,16457,0.1581,3742,0.8399
S048,33292,0.2915,10987,0.6067
S049,6032,0.7465,1633,0.7802
S050,20794,0.866,6867,0.3686
S051,17324,0.6793,4529,0.389
S052,1582,0.0288,500,0.1763
S053,1498,0.0412,500,0.1309
S054,35443,0.6333,10278,0.3755
S055,1247,0.1146,500,0.037
S056,4714,0.4568,1208,0.1714
S057,1000,0.1089,500,0.7696
S058,500,0.1725,500,0.4266
S059,550,0.2445,500,0.2284
S060,6430,0.1358,1861,0.5541
S061,3161,0.1738,1070,0.295
S062,36346,0.8184,11724,0.6578
S063,916,0.0893,500,0.0814
S064,27697,0.3244,9416,0.6804
S065,2488,0.0381,755,0.4247
S066,11308,0.6802,3832,0.6954
S067,17606,0.571,4026,0.8787
S068,2575,0.1148,677,0.8598
S069,1269,0.1891,500,0.0562
S070,2001,0.0245,774,0.0416
S071,25838,0.2552,7892,0.1574
S072,5000,0.2831,1502,0.906
S073,71492,0.551,16120,0.364
S074,12203,0.5932,3840,0.5662
S075,4208,0.3481,856,0.4746
S076,3683,0.0551,781,0.4205
S077,3603,0.1795,1158,0.4149
S078,929,0.136,500,0.1064
S079,16493,0.2486,3757,0.484
S080,1233,0.0752,500,0.0325
S081,2460,0.1845,914,0.1581
S082,3402,0.5872,765,0.5246
S083,1323,0.4434,500,0.5854
S084,1436,0.0913,500,0.1307
S085,131779,0.1526,40962,0.6423
S086,7234,0.2421,2182,0.6847
S087,2046,0.1268,555,0.5372
S088,1000,0.1908,500,0.4459
S089,1627,0.0701,500,0.1975
S090,1480,0.0257,556,0.4747
S091,25138,0.5,9384,0.9056
S092,2425,0.3144,557,0.4322
S093,9334,0.3924,2915,0.2377
S094,10760,0.1408,3223,0.5277
S095,1000,0.379,500,0.7745
S096,94266,0.6018,31969,0.5707
S097,26134,0.2203,10036,0.7425
S098,5430,0.486,2109,0.495
S099,1083,0.1369,500,0.1014
S100,28122,0.3286,7668,0.2093
