claim_id,M_i,P_i,C_i,v_i
S001,4523,0.622,1221,0.4779
S002,9517,0.7486,3763,0.3132
S003,1346,0.4751,500,0.4596
S004,2705,0.1485,1024,0.3865
S005,4489,0.4219,1544,0.1198
S006,33938,0.3755,9774,0.4123
S007,17229,0.7123,7508,0.3279
S008,4078,0.4927,1766,0.6579
S009,9772,0.5839,3665,0.4177
S010,5911,0.8878,2079,0.3793
S011,1925,0.5133,736,0.0756
S012,2333,0.4426,963,0.4969
S013,1904,0.1153,575,0.7483
S014,4537,0.1505,1391,0.2936
S015,5667,0.8438,2219,0.6247
S016,1000,0.3019,500,0.3662
S017,12799,0.5897,5063,0.5114
S018,5082,0.286,2025,0.2565
S019,4241,0.5178,1316,0.4637
S020,3658,0.5517,1184,0.4001
S021,20539,0.5812,9105,0.4443
S022,4147,0.65,1516,0.3221
S023,4173,0.8786,1805,0.0285
S024,9378,0.4047,3486,0.4229
S025,4912,0.2119,1954,0.3742
S026,9936,0.2135,3789,0.1709
S027,5315,0.419,1647,0.1299
S028,5217,0.4498,1927,0.2059
S029,14480,0.5869,4666,0.3261
S030,4649,0.2879,1240,0.667
S031,2185,0.2995,735,0.3345
S032,1582,0.642,610,0.8251
S033,5172,0.7824,1518,0.2762
S034,2060,0.5938,560,0.4336
S035,9640,0.3789,4250,0.1848
