claim_id,M_i,P_i,C_i,v_i
S001,6214,0.8405,2021,0.5955
S002,14607,0.3948,4414,0.2269
S003,9084,0.7496,3473,0.5318
S004,17504,0.3354,6318,0.3149
S005,17651,0.4093,5715,0.3823
S006,14210,0.3378,4725,0.2217
S007,17465,0.4462,7031,0.3732
S008,8916,0.3824,3604,0.3665
S009,16331,0.3324,5783,0.388
S010,8493,0.7737,2864,0.6718
S011,6271,0.6994,1570,0.6836
S012,11908,0.3851,3971,0.3711
S013,10305,0.396,4280,0.3926
S014,13744,0.3837,4723,0.3389
S015,4297,0.8644,2986,0.5356
S016,16556,0.4234,5091,0.2776
S017,8291,0.4301,3243,0.3012
S018,11548,0.3553,4309,0.2023
S019,14644,0.3755,5095,0.2508
S020,11120,0.4559,4568,0.2993
S021,10529,0.3928,3753,0.3365
S022,8369,0.3333,3174,0.2504
S023,16394,0.4139,6534,0.3705
S024,5262,0.7592,2747,0.464
S025,12325,0.3259,4566,0.2194
S026,10367,0.3451,3343,0.3819
S027,6020,0.7968,2653,0.599
S028,17544,0.4592,6755,0.3425
S029,17243,0.397,5799,0.2795
S030,6893,0.7382,2244,0.6224
S031,12701,0.2735,4726,0.3949
S032,18492,0.3751,5925,0.3952
S033,17311,0.319,6773,0.2876
S034,14023,0.3554,4995,0.3817
S035,16960,0.4503,6041,0.2535
