,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012
S001,0.0,0.0,0.0,0.0,0.0,0.0,0.6518,0.0,0.0,0.0,0.9396,0.0
S002,0.0,0.0,0.0,0.0,0.0,0.692,0.0,0.0,0.0,0.7744,0.0,0.0
S003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8515,0.0,0.0,0.0,0.8137
S005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S006,0.0,0.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7065,0.0,0.0
S007,0.6518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.765,0.0
S008,0.0,0.0,0.0,0.8515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6226
S009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S010,0.0,0.7744,0.0,0.0,0.0,0.7065,0.0,0.0,0.0,0.0,0.0,0.0
S011,0.9396,0.0,0.0,0.0,0.0,0.0,0.765,0.0,0.0,0.0,0.0,0.0
S012,0.0,0.0,0.0,0.8137,0.0,0.0,0.0,0.6226,0.0,0.0,0.0,0.0
